datetime,temp
2020-01-01,7.3
2020-01-02,6.8
2020-01-03,8.2
2020-01-04,9.5
2020-01-05,7.6
2020-01-06,6.1
2020-01-07,6.1
2020-01-08,6.6
2020-01-09,7.7
2020-01-10,9
2020-01-11,9.3
2020-01-12,10.3
2020-01-13,11.2
2020-01-14,9.3
2020-01-15,9.7
2020-01-16,10.7
2020-01-17,9.9
2020-01-18,8.9
2020-01-19,8.3
2020-01-20,8
2020-01-21,7.4
2020-01-22,7.9
2020-01-23,7.9
2020-01-24,7.5
2020-01-25,7.9
2020-01-26,10.3
2020-01-27,11.7
2020-01-28,11.9
2020-01-29,13.3
2020-01-30,13.7
2020-01-31,10.3
2020-02-01,12.2
2020-02-02,11.3
2020-02-03,12.4
2020-02-04,13.1
2020-02-05,11.8
2020-02-06,5.4
2020-02-07,5.8
2020-02-08,5.6
2020-02-09,5.3
2020-02-10,9.5
2020-02-11,14.6
2020-02-12,14.4
2020-02-13,12.6
2020-02-14,11
2020-02-15,11.9
2020-02-16,11.2
2020-02-17,11.3
2020-02-18,9.6
2020-02-19,10.4
2020-02-20,11.4
2020-02-21,9
2020-02-22,7.4
2020-02-23,9.2
2020-02-24,10.1
2020-02-25,13.7
2020-02-26,13.4
2020-02-27,14.7
2020-02-28,11.7
2020-02-29,9.7
2020-03-01,9.2
2020-03-02,12.6
2020-03-03,15.3
2020-03-04,15.2
2020-03-05,12.2
2020-03-06,11.9
2020-03-07,13.9
2020-03-08,16.6
2020-03-09,11.1
2020-03-10,12.5
2020-03-11,12
2020-03-12,13.6
2020-03-13,17.2
2020-03-14,15.2
2020-03-15,13.6
2020-03-16,9.2
2020-03-17,9.7
2020-03-18,9.9
2020-03-19,10.6
2020-03-20,11.5
2020-03-21,13.6
2020-03-22,13.1
2020-03-23,13
2020-03-24,12.7
2020-03-25,11.2
2020-03-26,11.3
2020-03-27,11.4
2020-03-28,11.6
2020-03-29,11.9
2020-03-30,12.1
2020-03-31,14.2
2020-04-01,12.2
2020-04-02,12.1
2020-04-03,9.8
2020-04-04,11.1
2020-04-05,11.8
2020-04-06,9.9
2020-04-07,10.2
2020-04-08,12.8
2020-04-09,14.3
2020-04-10,16.4
2020-04-11,16.4
2020-04-12,16
2020-04-13,15.3
2020-04-14,16.2
2020-04-15,14.7
2020-04-16,13.2
2020-04-17,14
2020-04-18,15.7
2020-04-19,17
2020-04-20,16.8
2020-04-21,15.8
2020-04-22,12.5
2020-04-23,12.8
2020-04-24,14.2
2020-04-25,14.3
2020-04-26,16
2020-04-27,16.6
2020-04-28,17.7
2020-04-29,18.4
2020-04-30,20.4
2020-05-01,19.8
2020-05-02,20
2020-05-03,20.5
2020-05-04,17.8
2020-05-05,17.7
2020-05-06,20.2
2020-05-07,16.5
2020-05-08,17.8
2020-05-09,17.7
2020-05-10,19.2
2020-05-11,20.5
2020-05-12,22.6
2020-05-13,22.3
2020-05-14,23
2020-05-15,25.1
2020-05-16,26.9
2020-05-17,27.2
2020-05-18,25.8
2020-05-19,25.6
2020-05-20,24
2020-05-21,23.4
2020-05-22,19
2020-05-23,18.9
2020-05-24,19.1
2020-05-25,20.3
2020-05-26,16.7
2020-05-27,15.2
2020-05-28,16.7
2020-05-29,17.2
2020-05-30,18.4
2020-05-31,19.1
2020-06-01,18.4
2020-06-02,18.7
2020-06-03,19.5
2020-06-04,20.4
2020-06-05,20.9
2020-06-06,22.7
2020-06-07,22.5
2020-06-08,23.9
2020-06-09,23.9
2020-06-10,25.2
2020-06-11,25.2
2020-06-12,23.9
2020-06-13,23.9
2020-06-14,26.3
2020-06-15,27
2020-06-16,25.4
2020-06-17,25.6
2020-06-18,26
2020-06-19,26.9
2020-06-20,26.3
2020-06-21,25
2020-06-22,22.7
2020-06-23,22.8
2020-06-24,24.1
2020-06-25,25.4
2020-06-26,26.7
2020-06-27,26.9
2020-06-28,27.6
2020-06-29,27.7
2020-06-30,28.2
2020-07-01,29.6
2020-07-02,29.7
2020-07-03,29.3
2020-07-04,28.6
2020-07-05,28.5
2020-07-06,27.7
2020-07-07,27.3
2020-07-08,27.4
2020-07-09,26.1
2020-07-10,26.5
2020-07-11,26.9
2020-07-12,27.9
2020-07-13,27.6
2020-07-14,25.5
2020-07-15,25
2020-07-16,24.8
2020-07-17,25.7
2020-07-18,26.3
2020-07-19,25.9
2020-07-20,26.8
2020-07-21,27.4
2020-07-22,28.5
2020-07-23,29.1
2020-07-24,29.5
2020-07-25,29.2
2020-07-26,27.4
2020-07-27,28.4
2020-07-28,29.3
2020-07-29,30.9
2020-07-30,31.8
2020-07-31,32
2020-08-01,30.4
2020-08-02,29.9
2020-08-03,29.2
2020-08-04,27.1
2020-08-05,27.4
2020-08-06,26.7
2020-08-07,25.7
