datetime,temp
2020-02-01,10.7
2020-02-02,9.6
2020-02-03,9.7
2020-02-04,5.5
2020-02-05,4.9
2020-02-06,4
2020-02-07,4.4
2020-02-08,8.1
2020-02-09,9.6
2020-02-10,8.1
2020-02-11,5.6
2020-02-12,4.8
2020-02-13,6.3
2020-02-14,7.5
2020-02-15,10
2020-02-16,12.5
2020-02-17,8.1
2020-02-18,6.7
2020-02-19,5.8
2020-02-20,7.9
2020-02-21,5.8
2020-02-22,7.7
2020-02-23,10.1
2020-02-24,8
2020-02-25,7.2
2020-02-26,3.2
2020-02-27,2
2020-02-28,3.6
2020-02-29,8.5
2020-03-01,6.8
2020-03-02,5.8
2020-03-03,4.1
2020-03-04,5.6
2020-03-05,6.2
2020-03-06,5.3
2020-03-07,6.2
2020-03-08,8
2020-03-09,7.6
2020-03-10,10
2020-03-11,12.2
2020-03-12,9.4
2020-03-13,6.9
2020-03-14,6.8
2020-03-15,10.1
2020-03-16,8.9
2020-03-17,8.4
2020-03-18,10.6
2020-03-19,8.9
2020-03-20,7.3
2020-03-21,5.9
2020-03-22,5.4
2020-03-23,5.5
2020-03-24,5.5
2020-03-25,5.5
2020-03-26,6.3
2020-03-27,7.9
2020-03-28,8.8
2020-03-29,5
2020-03-30,3.5
2020-03-31,5.3
2020-04-01,5.1
2020-04-02,5.2
2020-04-03,7.8
2020-04-04,10.1
2020-04-05,13.9
2020-04-06,15.4
2020-04-07,13.8
2020-04-08,17.3
2020-04-09,16.1
2020-04-10,15.1
2020-04-11,15.4
2020-04-12,15.8
2020-04-13,10
2020-04-14,6.8
2020-04-15,9.6
2020-04-16,14.6
2020-04-17,14.9
2020-04-18,12
2020-04-19,10.8
2020-04-20,13.3
2020-04-21,14.5
2020-04-22,15.6
2020-04-23,16.2
2020-04-24,13.3
2020-04-25,10.6
2020-04-26,11.1
2020-04-27,14.6
2020-04-28,12.3
2020-04-29,12.2
2020-04-30,10.8
2020-05-01,10.7
2020-05-02,10.2
2020-05-03,10.8
2020-05-04,12.5
2020-05-05,10.5
2020-05-06,11.8
2020-05-07,14.2
2020-05-08,16.1
2020-05-09,17.8
2020-05-10,15.8
2020-05-11,8.6
2020-05-12,7.8
2020-05-13,8.6
2020-05-14,8.8
2020-05-15,9.9
2020-05-16,11.1
2020-05-17,12.8
2020-05-18,15.7
2020-05-19,16.4
2020-05-20,18
2020-05-21,20.1
2020-05-22,19.5
2020-05-23,15.2
2020-05-24,13.6
2020-05-25,16.8
2020-05-26,17.6
2020-05-27,17.8
2020-05-28,15.7
2020-05-29,16.7
2020-05-30,18.2
2020-05-31,17.6
2020-06-01,19.5
2020-06-02,20.9
2020-06-03,17.7
2020-06-04,13.3
2020-06-05,10.7
2020-06-06,11.7
2020-06-07,13.8
2020-06-08,13
2020-06-09,13
2020-06-10,13.7
2020-06-11,16.1
2020-06-12,17.3
2020-06-13,19.1
2020-06-14,19.2
2020-06-15,19.8
2020-06-16,19.1
2020-06-17,17.6
2020-06-18,17.4
2020-06-19,17.1
2020-06-20,17
2020-06-21,18.3
2020-06-22,17
2020-06-23,20.3
2020-06-24,23.7
2020-06-25,23.9
2020-06-26,24
2020-06-27,21.1
2020-06-28,18.1
2020-06-29,16.2
2020-06-30,16.1
2020-07-01,17.8
2020-07-02,17.3
2020-07-03,16.8
2020-07-04,17.4
2020-07-05,18.7
2020-07-06,15.4
2020-07-07,16.7
2020-07-08,15
2020-07-09,18.9
2020-07-10,17
2020-07-11,15.1
2020-07-12,16.2
2020-07-13,18.7
2020-07-14,15.9
2020-07-15,16
2020-07-16,15.5
2020-07-17,17.4
2020-07-18,19.7
2020-07-19,18.5
2020-07-20,17.2
2020-07-21,16.1
2020-07-22,16
2020-07-23,18.8
2020-07-24,18.4
2020-07-25,19.3
2020-07-26,18.6
2020-07-27,20.8
2020-07-28,19.2
2020-07-29,17.4
2020-07-30,20.8
2020-07-31,26.4
2020-08-01,23.4
2020-08-02,18.6
2020-08-03,16.3
2020-08-04,17.5
2020-08-05,21.1
2020-08-06,24.1
2020-08-07,26.9
2020-08-08,28.1
2020-08-09,26.7
2020-08-10,27.1
2020-08-11,27
2020-08-12,26.2
2020-08-13,24.8
2020-08-14,21.5
2020-08-15,21.4
2020-08-16,21.8
2020-08-17,20.1
2020-08-18,19.2
2020-08-19,20.5
2020-08-20,24
2020-08-21,24.6
2020-08-22,19.4
2020-08-23,17.3
2020-08-24,16.8
2020-08-25,17.6
2020-08-26,17.9
2020-08-27,16.7
2020-08-28,16.9
2020-08-29,14.4
2020-08-30,14.7
2020-08-31,15.7
2020-09-01,14.7
2020-09-02,15.3
2020-09-03,17
2020-09-04,18.3
2020-09-05,15.6
2020-09-06,14.2
2020-09-07,15
2020-09-08,16.6
2020-09-09,19.3
2020-09-10,17
2020-09-11,15.8
2020-09-12,15.7
2020-09-13,17.3
2020-09-14,21.4
2020-09-15,25.1
2020-09-16,21.3
2020-09-17,15.9
2020-09-18,15.7
2020-09-19,19.1
2020-09-20,18.7
2020-09-21,16.2
2020-09-22,15.7
2020-09-23,17.2
2020-09-24,13.9
2020-09-25,10.2
2020-09-26,10.5
2020-09-27,13.5
2020-09-28,12.5
2020-09-29,14.3
2020-09-30,15.8
2020-10-01,13.8
2020-10-02,11.4
2020-10-03,12.3
2020-10-04,11.5
2020-10-05,11.8
2020-10-06,12.7
2020-10-07,12.3
2020-10-08,13.7
2020-10-09,12.5
2020-10-10,9.7
2020-10-11,9.2
2020-10-12,10.1
2020-10-13,9.6
2020-10-14,8.3
2020-10-15,9.3
2020-10-16,9
2020-10-17,7.9
2020-10-18,9.4
2020-10-19,10.1
2020-10-20,12.3
2020-10-21,15.8
2020-10-22,14.7
2020-10-23,13.9
2020-10-24,13.5
2020-10-25,12.2
2020-10-26,10.2
2020-10-27,9.8
2020-10-28,11.2
2020-10-29,10.9
2020-10-30,14.1
2020-10-31,13.7
2020-11-01,14.3
2020-11-02,15.9
2020-11-03,9
2020-11-04,6.4
2020-11-05,5.6
2020-11-06,6.1
2020-11-07,9.4
2020-11-08,12.5
2020-11-09,12.4
2020-11-10,11.5
2020-11-11,11
2020-11-12,10.7
2020-11-13,10.6
2020-11-14,13.1
2020-11-15,13
2020-11-16,10
2020-11-17,11.4
2020-11-18,12.5
2020-11-19,9
2020-11-20,4.4
2020-11-21,7.7
2020-11-22,8.8
2020-11-23,8.4
2020-11-24,8.3
2020-11-25,7.1
2020-11-26,8.4
2020-11-27,7
2020-11-28,6.6
